jst,open,high,low,close,volume
2022/01/04 16:30,28840,28870,28840,28850,711
2022/01/04 17:00,28860,28890,28860,28890,767
2022/01/04 18:00,28890,28940,28880,28920,538
2022/01/04 19:00,28920,28920,28890,28900,337
2022/01/04 20:00,28890,28920,28880,28900,816
2022/01/04 21:00,28900,28900,28880,28880,280
2022/01/04 22:00,28890,28900,28870,28900,195
2022/01/04 23:00,28900,28930,28900,28900,898
2022/01/04 00:00,28900,28930,28900,28910,689
2022/01/04 01:00,28910,28940,28910,28920,330
2022/01/04 02:00,28920,28930,28900,28920,291
2022/01/04 03:00,28910,28920,28910,28920,80
2022/01/04 04:00,28920,28930,28900,28920,201
2022/01/04 05:00,28910,28910,28800,28830,515
2022/01/04 06:00,28840,28840,28840,28840,73
2022/01/04 08:45,29040,29070,29000,29050,2102
2022/01/04 09:00,29050,29210,28940,29170,10119
2022/01/04 10:00,29170,29240,29120,29160,5591
2022/01/04 11:00,29170,29190,29140,29190,2683
2022/01/04 12:00,29180,29260,29160,29240,3006
2022/01/04 13:00,29240,29300,29230,29290,2880
2022/01/04 14:00,29290,29300,29250,29260,3262
2022/01/04 15:00,29260,29300,29230,29230,4142
2022/01/05 16:30,29210,29240,29210,29230,595
2022/01/05 17:00,29240,29240,29190,29190,1976
2022/01/05 18:00,29190,29210,29180,29210,777
2022/01/05 19:00,29210,29260,29210,29250,587
2022/01/05 20:00,29250,29280,29250,29280,444
2022/01/05 21:00,29280,29290,29260,29280,614
2022/01/05 22:00,29280,29340,29280,29330,927
2022/01/05 23:00,29330,29350,29310,29330,1537
2022/01/05 00:00,29330,29330,29240,29250,1819
2022/01/05 01:00,29240,29290,29200,29290,1217
2022/01/05 02:00,29280,29300,29260,29260,394
2022/01/05 03:00,29250,29260,29180,29180,535
2022/01/05 04:00,29190,29240,29180,29230,219
2022/01/05 05:00,29240,29290,29240,29270,412
2022/01/05 06:00,29270,29270,29270,29270,128
2022/01/05 08:45,29230,29260,29200,29260,1355
2022/01/05 09:00,29260,29310,29170,29300,6471
2022/01/05 10:00,29300,29370,29240,29280,5311
2022/01/05 11:00,29280,29310,29260,29310,1666
2022/01/05 12:00,29310,29320,29280,29300,1238
2022/01/05 13:00,29300,29300,29270,29280,1151
2022/01/05 14:00,29290,29340,29270,29310,3112
2022/01/05 15:00,29310,29330,29270,29270,2957
2022/01/06 16:30,29290,29310,29280,29300,880
2022/01/06 17:00,29300,29320,29250,29260,1763
2022/01/06 18:00,29250,29290,29250,29290,677
2022/01/06 19:00,29290,29290,29270,29270,542
2022/01/06 20:00,29270,29270,29240,29250,477
2022/01/06 21:00,29260,29280,29260,29260,345
2022/01/06 22:00,29270,29280,29250,29280,767
2022/01/06 23:00,29290,29300,29230,29290,1458
2022/01/06 00:00,29290,29340,29280,29330,1505
2022/01/06 01:00,29330,29340,29290,29290,725
2022/01/06 02:00,29290,29320,29280,29280,270
2022/01/06 03:00,29280,29290,29240,29290,329
2022/01/06 04:00,29280,29300,29050,29100,2034
2022/01/06 05:00,29090,29110,29030,29030,1679
2022/01/06 06:00,29010,29010,29010,29010,171
2022/01/06 08:45,29020,29050,28980,29020,1660
2022/01/06 09:00,29020,29090,28920,28930,8787
2022/01/06 10:00,28930,28950,28800,28810,6634
2022/01/06 11:00,28810,28810,28650,28710,6118
2022/01/06 12:00,28700,28710,28530,28570,6753
2022/01/06 13:00,28570,28580,28490,28550,6486
2022/01/06 14:00,28550,28600,28470,28480,7476
2022/01/06 15:00,28480,28510,28460,28500,5664
2022/01/07 16:30,28570,28630,28550,28580,3010
2022/01/07 17:00,28580,28650,28520,28640,5053
2022/01/07 18:00,28640,28660,28600,28660,1798
2022/01/07 19:00,28660,28740,28650,28720,2148
2022/01/07 20:00,28720,28720,28660,28690,1080
2022/01/07 21:00,28690,28720,28670,28680,752
2022/01/07 22:00,28690,28710,28670,28680,1195
2022/01/07 23:00,28680,28780,28640,28640,2799
2022/01/07 00:00,28640,28740,28560,28700,4177
2022/01/07 01:00,28700,28750,28670,28750,1580
2022/01/07 02:00,28740,28830,28730,28800,1256
2022/01/07 03:00,28790,28800,28730,28740,481
2022/01/07 04:00,28750,28780,28720,28760,672
2022/01/07 05:00,28760,28800,28660,28660,424
2022/01/07 06:00,28690,28690,28690,28690,75
2022/01/07 08:45,28720,28740,28680,28690,2047
2022/01/07 09:00,28680,28790,28650,28750,5366
2022/01/07 10:00,28740,28740,28420,28450,8122
2022/01/07 11:00,28450,28450,28260,28380,7067
2022/01/07 12:00,28390,28470,28370,28420,3378
2022/01/07 13:00,28420,28430,28370,28410,2071
2022/01/07 14:00,28410,28470,28370,28460,4751
2022/01/07 15:00,28450,28460,28400,28450,3386
2022/01/11 16:30,28490,28490,28450,28470,744
2022/01/11 17:00,28470,28480,28350,28380,2281
2022/01/11 18:00,28380,28450,28370,28430,1147
2022/01/11 19:00,28420,28460,28420,28460,651
2022/01/11 20:00,28450,28450,28430,28430,595
2022/01/11 21:00,28430,28450,28410,28420,622
2022/01/11 22:00,28420,28470,28330,28370,2384
2022/01/11 23:00,28380,28440,28340,28390,2147
2022/01/11 00:00,28390,28390,28160,28220,2942
2022/01/11 01:00,28220,28380,28210,28360,1630
2022/01/11 02:00,28360,28360,28310,28350,351
2022/01/11 03:00,28340,28390,28340,28380,454
2022/01/11 04:00,28380,28410,28350,28410,346
2022/01/11 05:00,28410,28430,28400,28420,563
2022/01/11 06:00,28410,28410,28410,28410,79
2022/01/11 08:45,28300,28380,28300,28360,1510
2022/01/11 09:00,28360,28460,28180,28320,10871
2022/01/11 10:00,28320,28350,28060,28080,6136
2022/01/11 11:00,28080,28260,28060,28260,3194
2022/01/11 12:00,28250,28280,28230,28260,1848
