jst,open,high,low,close,volume
2019/01/04 16:30,19820,19840,19780,19810,1905
2019/01/04 17:00,19800,19850,19710,19820,4957
2019/01/04 18:00,19820,19870,19780,19870,2003
2019/01/04 19:00,19860,19940,19860,19920,2369
2019/01/04 20:00,19920,19960,19870,19900,1783
2019/01/04 21:00,19900,19940,19880,19940,1752
2019/01/04 22:00,19940,19980,19920,19970,1328
2019/01/04 23:00,19970,20020,19910,19960,3701
2019/01/04 00:00,19960,19960,19820,19860,3542
2019/01/04 01:00,19860,19960,19830,19950,2116
2019/01/04 02:00,19950,19990,19930,19930,1197
2019/01/04 03:00,19930,19960,19890,19940,821
2019/01/04 04:00,19950,20030,19950,20010,1454
2019/01/04 05:00,20020,20020,19900,19900,1035
2019/01/04 08:45,19420,19460,19370,19400,3540
2019/01/04 09:00,19410,19480,19210,19240,18607
2019/01/04 10:00,19230,19420,19210,19350,10697
2019/01/04 11:00,19360,19420,19270,19410,7996
2019/01/04 12:00,19410,19500,19400,19450,7852
2019/01/04 13:00,19440,19470,19390,19420,4529
2019/01/04 14:00,19420,19500,19410,19480,8704
2019/01/04 15:00,19490,19540,19450,19480,7594
2019/01/07 16:30,19520,19540,19480,19510,2220
2019/01/07 17:00,19500,19570,19480,19570,5158
2019/01/07 18:00,19570,19630,19530,19590,3995
2019/01/07 19:00,19600,19620,19560,19610,1618
2019/01/07 20:00,19610,19640,19600,19630,1605
2019/01/07 21:00,19640,19650,19590,19610,1414
2019/01/07 22:00,19610,19670,19580,19640,4131
2019/01/07 23:00,19640,19780,19620,19770,4578
2019/01/07 00:00,19780,19960,19700,19960,6993
2019/01/07 01:00,19950,20040,19950,20030,4013
2019/01/07 02:00,20020,20140,20000,20110,1823
2019/01/07 03:00,20110,20160,20100,20130,1405
2019/01/07 04:00,20130,20190,20090,20130,1484
2019/01/07 05:00,20130,20150,20100,20100,427
2019/01/07 08:45,20140,20160,20110,20140,3894
2019/01/07 09:00,20150,20250,20090,20140,16798
2019/01/07 10:00,20130,20190,20080,20120,10144
2019/01/07 11:00,20120,20130,20040,20060,6305
2019/01/07 12:00,20060,20100,20020,20090,5380
2019/01/07 13:00,20080,20100,20030,20070,3864
2019/01/07 14:00,20080,20090,19980,20000,6544
2019/01/07 15:00,20000,20070,19990,20070,6642
2019/01/08 16:30,20090,20110,20060,20090,2194
2019/01/08 17:00,20090,20090,20010,20010,3397
2019/01/08 18:00,20020,20040,19950,19960,2659
2019/01/08 19:00,19960,20010,19960,20010,1985
2019/01/08 20:00,20010,20030,19980,20010,2967
2019/01/08 21:00,20000,20050,19990,20040,1489
2019/01/08 22:00,20040,20050,20020,20020,961
2019/01/08 23:00,20020,20060,19960,20040,2357
2019/01/08 00:00,20030,20100,19990,20080,4752
2019/01/08 01:00,20080,20190,20080,20190,3016
2019/01/08 02:00,20190,20240,20170,20230,1517
2019/01/08 03:00,20230,20290,20160,20170,1614
2019/01/08 04:00,20170,20220,20140,20140,1280
2019/01/08 05:00,20150,20230,20150,20230,524
2019/01/08 08:45,20160,20180,20130,20150,2480
2019/01/08 09:00,20140,20230,20130,20200,8555
2019/01/08 10:00,20190,20200,20070,20130,8540
2019/01/08 11:00,20130,20240,20130,20230,5502
2019/01/08 12:00,20230,20250,20170,20210,5073
2019/01/08 13:00,20220,20320,20210,20320,5234
2019/01/08 14:00,20320,20320,20200,20200,8474
2019/01/08 15:00,20210,20230,20170,20220,5266
2019/01/09 16:30,20250,20250,20220,20220,1192
2019/01/09 17:00,20220,20280,20210,20270,2533
2019/01/09 18:00,20280,20300,20230,20240,1952
2019/01/09 19:00,20240,20250,20210,20250,1341
2019/01/09 20:00,20250,20280,20240,20270,1275
2019/01/09 21:00,20270,20290,20250,20280,929
2019/01/09 22:00,20280,20380,20280,20370,3034
2019/01/09 23:00,20370,20400,20300,20320,3618
2019/01/09 00:00,20320,20350,20190,20220,3670
2019/01/09 01:00,20220,20260,20190,20240,2360
2019/01/09 02:00,20240,20270,20190,20240,1484
2019/01/09 03:00,20240,20330,20230,20310,1050
2019/01/09 04:00,20310,20330,20290,20310,604
2019/01/09 05:00,20300,20310,20280,20290,286
2019/01/09 08:45,20320,20350,20310,20340,1281
2019/01/09 09:00,20340,20380,20300,20330,6076
2019/01/09 10:00,20330,20450,20330,20450,6677
2019/01/09 11:00,20450,20470,20400,20430,6695
2019/01/09 12:00,20430,20470,20400,20460,3740
2019/01/09 13:00,20460,20470,20420,20450,3794
2019/01/09 14:00,20450,20450,20380,20390,6442
2019/01/09 15:00,20390,20430,20390,20420,3806
2019/01/10 16:30,20430,20440,20380,20390,1555
2019/01/10 17:00,20400,20440,20360,20420,3835
2019/01/10 18:00,20420,20460,20410,20410,2138
2019/01/10 19:00,20410,20410,20380,20410,977
2019/01/10 20:00,20410,20420,20360,20380,1524
2019/01/10 21:00,20380,20390,20340,20380,1692
2019/01/10 22:00,20380,20400,20360,20380,1298
2019/01/10 23:00,20370,20370,20270,20330,4455
2019/01/10 00:00,20340,20350,20160,20200,6116
2019/01/10 01:00,20200,20310,20190,20310,2805
2019/01/10 02:00,20310,20350,20300,20350,1108
2019/01/10 03:00,20350,20400,20300,20320,1208
2019/01/10 04:00,20320,20370,20240,20320,1776
2019/01/10 05:00,20320,20330,20300,20300,238
2019/01/10 08:45,20260,20290,20240,20250,1910
2019/01/10 09:00,20250,20320,20170,20180,10273
2019/01/10 10:00,20180,20180,20070,20130,11791
2019/01/10 11:00,20130,20160,20080,20130,5791
2019/01/10 12:00,20130,20200,20120,20180,6230
2019/01/10 13:00,20170,20180,20120,20180,3976
2019/01/10 14:00,20180,20180,20110,20130,6322
2019/01/10 15:00,20130,20150,20070,20110,6389
2019/01/11 16:30,20110,20120,20090,20090,805
2019/01/11 17:00,20090,20120,20010,20060,3305
2019/01/11 18:00,20060,20110,20060,20080,2626
2019/01/11 19:00,20070,20140,20070,20110,1433
2019/01/11 20:00,20110,20120,20090,20100,850
2019/01/11 21:00,20100,20130,20100,20120,883
2019/01/11 22:00,20120,20160,20110,20120,1013
2019/01/11 23:00,20120,20140,20080,20120,2005
2019/01/11 00:00,20110,20220,20100,20220,2916
2019/01/11 01:00,20220,20300,20200,20270,2208
2019/01/11 02:00,20260,20340,20230,20320,1222
2019/01/11 03:00,20320,20320,20170,20250,1293
2019/01/11 04:00,20260,20350,20260,20310,735
2019/01/11 05:00,20310,20350,20310,20350,269
2019/01/11 08:45,20290,20310,20260,20310,3444
2019/01/11 09:00,20310,20350,20270,20330,12237
2019/01/11 10:00,20330,20360,20270,20310,8103
2019/01/11 11:00,20310,20340,20270,20290,3897
2019/01/11 12:00,20290,20320,20270,20310,3064
2019/01/11 13:00,20310,20350,20300,20330,3136
2019/01/11 14:00,20330,20370,20320,20340,5184
2019/01/11 15:00,20340,20340,20320,20320,4012
2019/01/15 16:30,20320,20330,20310,20320,1096
2019/01/15 17:00,20330,20330,20290,20320,2615
2019/01/15 18:00,20310,20320,20280,20290,1192
2019/01/15 19:00,20290,20300,20210,20250,2129
2019/01/15 20:00,20250,20260,20220,20230,993
2019/01/15 21:00,20230,20250,20210,20220,1002
2019/01/15 22:00,20220,20230,20170,20210,2045
2019/01/15 23:00,20200,20250,20170,20200,2631
2019/01/15 00:00,20200,20250,20180,20240,2674
2019/01/15 01:00,20240,20250,20200,20230,1489
2019/01/15 02:00,20230,20290,20230,20260,898
2019/01/15 03:00,20260,20270,20220,20240,474
2019/01/15 04:00,20240,20250,20210,20220,437
2019/01/15 05:00,20210,20240,20210,20230,236
2019/01/15 08:45,20170,20200,20170,20190,1945
2019/01/15 09:00,20190,20420,20160,20360,12263
2019/01/15 10:00,20360,20490,20360,20440,10216
2019/01/15 11:00,20440,20550,20440,20530,6164
2019/01/15 12:00,20530,20560,20500,20530,5556
2019/01/15 13:00,20530,20550,20480,20520,3696
2019/01/15 14:00,20520,20530,20490,20520,5930
2019/01/15 15:00,20520,20530,20500,20510,3255
2019/01/16 16:30,20490,20500,20470,20490,1219
2019/01/16 17:00,20480,20520,20440,20450,3070
2019/01/16 18:00,20440,20440,20400,20400,2248
2019/01/16 19:00,20400,20430,20390,20420,1492
2019/01/16 20:00,20410,20440,20350,20360,1431
2019/01/16 21:00,20360,20380,20330,20360,1294
2019/01/16 22:00,20360,20390,20340,20350,1160
2019/01/16 23:00,20350,20440,20350,20430,2334
2019/01/16 00:00,20430,20480,20400,20460,3442
2019/01/16 01:00,20460,20490,20430,20490,1777
2019/01/16 02:00,20490,20510,20460,20470,1305
2019/01/16 03:00,20470,20480,20460,20470,346
2019/01/16 04:00,20470,20490,20340,20420,2166
2019/01/16 05:00,20420,20470,20420,20420,995
2019/01/16 08:45,20530,20550,20520,20540,2061
2019/01/16 09:00,20540,20550,20350,20400,11701
2019/01/16 10:00,20400,20430,20290,20360,8654
2019/01/16 11:00,20360,20410,20320,20410,4552
2019/01/16 12:00,20400,20440,20380,20410,3768
2019/01/16 13:00,20410,20440,20390,20400,3631
2019/01/16 14:00,20400,20430,20380,20410,5740
2019/01/16 15:00,20410,20430,20400,20430,3306
2019/01/17 16:30,20450,20460,20440,20460,1022
2019/01/17 17:00,20460,20490,20430,20440,1861
2019/01/17 18:00,20440,20450,20410,20420,1180
2019/01/17 19:00,20420,20450,20410,20420,961
2019/01/17 20:00,20420,20440,20410,20430,680
2019/01/17 21:00,20440,20460,20420,20450,876
2019/01/17 22:00,20450,20460,20430,20440,671
2019/01/17 23:00,20450,20520,20450,20510,2413
2019/01/17 00:00,20510,20520,20460,20510,2111
2019/01/17 01:00,20510,20570,20460,20500,2485
2019/01/17 02:00,20500,20500,20460,20490,873
2019/01/17 03:00,20490,20510,20470,20500,530
2019/01/17 04:00,20510,20560,20510,20530,843
2019/01/17 05:00,20530,20570,20530,20570,405
2019/01/17 08:45,20540,20550,20500,20510,1792
2019/01/17 09:00,20520,20540,20440,20470,8001
2019/01/17 10:00,20470,20530,20340,20380,10541
2019/01/17 11:00,20380,20440,20310,20420,5974
2019/01/17 12:00,20430,20440,20380,20410,4337
2019/01/17 13:00,20420,20430,20380,20390,1966
2019/01/17 14:00,20380,20410,20330,20380,4855
2019/01/17 15:00,20380,20380,20350,20350,2119
2019/01/18 16:30,20280,20290,20210,20240,2959
2019/01/18 17:00,20240,20260,20180,20260,3833
2019/01/18 18:00,20260,20260,20190,20220,2567
2019/01/18 19:00,20220,20270,20220,20260,1427
2019/01/18 20:00,20250,20260,20230,20250,527
2019/01/18 21:00,20250,20260,20210,20220,1086
2019/01/18 22:00,20220,20270,20220,20250,1174
2019/01/18 23:00,20250,20330,20240,20320,1908
2019/01/18 00:00,20330,20380,20290,20360,3353
2019/01/18 01:00,20370,20410,20360,20390,2223
2019/01/18 02:00,20390,20410,20360,20360,810
2019/01/18 03:00,20370,20430,20370,20400,649
2019/01/18 04:00,20410,20610,20380,20510,3728
2019/01/18 05:00,20510,20510,20440,20500,852
2019/01/18 08:45,20490,20500,20450,20450,1310
2019/01/18 09:00,20460,20610,20430,20560,11464
2019/01/18 10:00,20560,20660,20530,20650,9225
2019/01/18 11:00,20650,20670,20620,20650,5451
2019/01/18 12:00,20650,20670,20620,20650,3279
2019/01/18 13:00,20650,20660,20620,20650,2868
2019/01/18 14:00,20640,20660,20620,20640,6150
2019/01/18 15:00,20650,20660,20620,20630,8061
2019/01/21 16:30,20620,20640,20600,20620,1026
2019/01/21 17:00,20620,20670,20620,20660,2817
2019/01/21 18:00,20660,20700,20650,20690,1473
2019/01/21 19:00,20700,20700,20640,20650,2045
2019/01/21 20:00,20650,20700,20650,20690,1130
2019/01/21 21:00,20690,20710,20680,20690,1791
2019/01/21 22:00,20700,20770,20690,20760,3269
2019/01/21 23:00,20760,20840,20740,20790,7486
2019/01/21 00:00,20790,20880,20730,20870,6184
2019/01/21 01:00,20870,20920,20830,20910,2457
2019/01/21 02:00,20910,20930,20880,20900,1773
2019/01/21 03:00,20900,20920,20880,20920,1390
2019/01/21 04:00,20930,20930,20870,20900,763
2019/01/21 05:00,20900,20930,20890,20920,703
2019/01/21 08:45,20860,20870,20830,20850,2350
2019/01/21 09:00,20850,20880,20790,20860,9686
2019/01/21 10:00,20850,20850,20660,20680,13567
2019/01/21 11:00,20690,20770,20680,20770,5760
2019/01/21 12:00,20770,20770,20710,20720,3117
2019/01/21 13:00,20730,20730,20690,20720,2012
2019/01/21 14:00,20730,20730,20650,20700,5274
2019/01/21 15:00,20700,20720,20680,20720,3729
2019/01/22 16:30,20710,20720,20690,20720,942
2019/01/22 17:00,20710,20720,20700,20710,1108
2019/01/22 18:00,20700,20700,20660,20680,1455
2019/01/22 19:00,20680,20720,20670,20710,1541
2019/01/22 20:00,20720,20720,20710,20720,409
2019/01/22 21:00,20730,20740,20720,20740,863
2019/01/22 22:00,20730,20750,20730,20730,493
2019/01/22 23:00,20730,20730,20690,20700,728
2019/01/22 00:00,20690,20700,20690,20690,427
2019/01/22 01:00,20690,20710,20680,20700,597
2019/01/22 02:00,20710,20710,20700,20710,109
2019/01/22 03:00,20710,20720,20710,20720,73
2019/01/22 04:00,20720,20720,20720,20720,3
2019/01/22 05:00,20730,20740,20710,20740,155
2019/01/22 08:45,20740,20770,20730,20750,1208
2019/01/22 09:00,20760,20790,20640,20660,6594
2019/01/22 10:00,20660,20730,20660,20680,6021
2019/01/22 11:00,20690,20710,20650,20670,4124
2019/01/22 12:00,20660,20680,20530,20560,5722
2019/01/22 13:00,20550,20590,20540,20570,3200
2019/01/22 14:00,20570,20590,20540,20580,7760
2019/01/22 15:00,20570,20590,20560,20560,3293
2019/01/23 16:30,20540,20560,20540,20550,962
2019/01/23 17:00,20550,20590,20530,20570,2010
2019/01/23 18:00,20580,20620,20580,20600,1469
2019/01/23 19:00,20600,20610,20590,20590,979
2019/01/23 20:00,20590,20590,20540,20570,1088
2019/01/23 21:00,20580,20600,20570,20570,850
2019/01/23 22:00,20580,20600,20570,20570,975
2019/01/23 23:00,20580,20580,20520,20550,3208
2019/01/23 00:00,20540,20560,20480,20550,3888
2019/01/23 01:00,20540,20580,20490,20490,2011
2019/01/23 02:00,20500,20510,20470,20480,1110
2019/01/23 03:00,20470,20470,20360,20420,2891
2019/01/23 04:00,20410,20410,20330,20360,1355
2019/01/23 05:00,20360,20400,20330,20390,565
2019/01/23 08:45,20430,20450,20430,20440,1761
2019/01/23 09:00,20440,20540,20430,20490,9696
2019/01/23 10:00,20490,20660,20480,20640,11151
2019/01/23 11:00,20640,20640,20590,20610,4899
2019/01/23 12:00,20620,20670,20580,20630,6348
2019/01/23 13:00,20630,20640,20600,20630,3416
2019/01/23 14:00,20630,20630,20560,20570,5211
2019/01/23 15:00,20570,20590,20560,20560,1798
2019/01/24 16:30,20530,20550,20520,20530,1145
2019/01/24 17:00,20530,20540,20490,20510,2631
2019/01/24 18:00,20510,20590,20510,20580,1783
2019/01/24 19:00,20590,20610,20580,20590,1571
2019/01/24 20:00,20590,20610,20570,20610,909
2019/01/24 21:00,20610,20640,20610,20630,1600
2019/01/24 22:00,20640,20650,20630,20640,674
2019/01/24 23:00,20640,20720,20640,20680,3051
2019/01/24 00:00,20690,20710,20540,20550,3295
2019/01/24 01:00,20550,20570,20430,20440,3297
2019/01/24 02:00,20450,20500,20410,20480,2153
2019/01/24 03:00,20480,20510,20450,20490,843
2019/01/24 04:00,20500,20530,20470,20490,723
2019/01/24 05:00,20490,20540,20490,20530,345
2019/01/24 08:45,20510,20520,20490,20490,1033
2019/01/24 09:00,20490,20550,20450,20520,7362
2019/01/24 10:00,20520,20610,20490,20500,7617
2019/01/24 11:00,20500,20540,20420,20520,5507
2019/01/24 12:00,20530,20550,20510,20520,3444
2019/01/24 13:00,20520,20540,20500,20540,2082
2019/01/24 14:00,20540,20570,20530,20560,5477
2019/01/24 15:00,20550,20570,20540,20560,2472
2019/01/25 16:30,20560,20570,20550,20550,714
2019/01/25 17:00,20560,20580,20520,20580,2454
2019/01/25 18:00,20580,20610,20560,20610,1710
2019/01/25 19:00,20610,20630,20600,20600,1237
2019/01/25 20:00,20610,20630,20590,20600,1102
2019/01/25 21:00,20590,20620,20580,20590,1007
2019/01/25 22:00,20590,20600,20510,20530,3675
2019/01/25 23:00,20520,20570,20490,20510,3685
2019/01/25 00:00,20510,20600,20500,20560,2752
2019/01/25 01:00,20560,20610,20520,20610,2109
2019/01/25 02:00,20610,20610,20550,20570,662
2019/01/25 03:00,20570,20570,20510,20560,653
2019/01/25 04:00,20560,20580,20550,20580,459
2019/01/25 05:00,20570,20600,20570,20590,316
