jst,open,high,low,close,volume
2018/01/04 16:30,22760,22760,22740,22750,380
2018/01/04 17:00,22740,22750,22730,22750,547
2018/01/04 18:00,22750,22760,22740,22760,630
2018/01/04 19:00,22760,22770,22740,22750,335
2018/01/04 20:00,22760,22780,22750,22770,1039
2018/01/04 21:00,22770,22800,22770,22780,285
2018/01/04 22:00,22780,22790,22780,22780,278
2018/01/04 23:00,22780,22790,22750,22750,921
2018/01/04 00:00,22760,22760,22720,22750,950
2018/01/04 01:00,22750,22800,22740,22800,603
2018/01/04 02:00,22800,22810,22760,22760,215
2018/01/04 03:00,22760,22780,22760,22770,117
2018/01/04 04:00,22760,22780,22760,22770,146
2018/01/04 05:00,22770,22780,22770,22780,197
2018/01/04 08:45,23100,23140,23080,23130,6112
2018/01/04 09:00,23140,23260,23120,23220,14763
2018/01/04 10:00,23220,23340,23200,23320,9508
2018/01/04 11:00,23320,23330,23280,23330,2710
2018/01/04 12:00,23330,23370,23320,23330,3889
2018/01/04 13:00,23340,23410,23330,23390,5176
2018/01/04 14:00,23400,23480,23390,23480,9637
2018/01/04 15:00,23480,23490,23410,23410,9577
2018/01/05 16:30,23430,23440,23420,23440,1085
2018/01/05 17:00,23440,23490,23440,23460,2839
2018/01/05 18:00,23460,23500,23460,23490,930
2018/01/05 19:00,23480,23490,23460,23470,811
2018/01/05 20:00,23470,23520,23470,23520,884
2018/01/05 21:00,23520,23550,23520,23530,944
2018/01/05 22:00,23530,23590,23510,23580,1992
2018/01/05 23:00,23590,23600,23550,23580,1939
2018/01/05 00:00,23590,23670,23570,23650,2258
2018/01/05 01:00,23640,23650,23610,23630,867
2018/01/05 02:00,23620,23660,23620,23650,342
2018/01/05 03:00,23650,23660,23640,23660,435
2018/01/05 04:00,23660,23660,23630,23640,245
2018/01/05 05:00,23640,23640,23600,23610,437
2018/01/05 08:45,23640,23640,23600,23630,2725
2018/01/05 09:00,23620,23660,23550,23570,9463
2018/01/05 10:00,23570,23580,23520,23550,6224
2018/01/05 11:00,23550,23560,23510,23530,4216
2018/01/05 12:00,23540,23610,23530,23600,2740
2018/01/05 13:00,23600,23660,23600,23660,4221
2018/01/05 14:00,23660,23730,23660,23720,8362
2018/01/05 15:00,23720,23720,23670,23720,12252
2018/01/09 16:30,23750,23780,23740,23760,1883
2018/01/09 17:00,23760,23820,23740,23740,3305
2018/01/09 18:00,23750,23770,23720,23760,2272
2018/01/09 19:00,23760,23760,23730,23730,837
2018/01/09 20:00,23730,23750,23730,23730,1116
2018/01/09 21:00,23740,23750,23720,23740,711
2018/01/09 22:00,23740,23780,23730,23770,1366
2018/01/09 23:00,23770,23790,23730,23760,1875
2018/01/09 00:00,23750,23750,23700,23740,843
2018/01/09 01:00,23740,23780,23740,23760,650
2018/01/09 02:00,23750,23760,23750,23760,232
2018/01/09 03:00,23760,23780,23750,23770,141
2018/01/09 04:00,23770,23780,23770,23780,219
2018/01/09 05:00,23780,23810,23780,23810,1083
2018/01/09 08:45,23910,24000,23910,23970,6100
2018/01/09 09:00,23970,23970,23860,23920,10768
2018/01/09 10:00,23920,23930,23810,23820,9538
2018/01/09 11:00,23820,23840,23770,23800,7721
2018/01/09 12:00,23790,23880,23760,23840,4058
2018/01/09 13:00,23840,23870,23820,23850,3509
2018/01/09 14:00,23840,23860,23820,23830,4623
2018/01/09 15:00,23830,23860,23820,23860,5102
2018/01/10 16:30,23870,23870,23840,23850,844
2018/01/10 17:00,23840,23920,23840,23910,1345
2018/01/10 18:00,23920,23930,23890,23900,685
2018/01/10 19:00,23900,23900,23870,23870,815
2018/01/10 20:00,23870,23870,23830,23850,703
2018/01/10 21:00,23850,23870,23840,23850,714
2018/01/10 22:00,23850,23850,23810,23840,1436
2018/01/10 23:00,23840,23870,23810,23820,1480
2018/01/10 00:00,23820,23830,23760,23780,1950
2018/01/10 01:00,23780,23820,23780,23810,1199
2018/01/10 02:00,23800,23840,23790,23830,528
2018/01/10 03:00,23840,23860,23840,23850,298
2018/01/10 04:00,23850,23850,23810,23840,848
2018/01/10 05:00,23830,23840,23820,23820,264
2018/01/10 08:45,23790,23820,23790,23810,2083
2018/01/10 09:00,23820,23850,23760,23780,9799
2018/01/10 10:00,23780,23790,23750,23760,6043
2018/01/10 11:00,23760,23800,23710,23740,4371
2018/01/10 12:00,23740,23820,23730,23800,5041
2018/01/10 13:00,23790,23830,23780,23810,4718
2018/01/10 14:00,23800,23810,23770,23780,2828
2018/01/10 15:00,23780,23800,23770,23800,3224
2018/01/11 16:30,23730,23740,23700,23720,1545
2018/01/11 17:00,23720,23750,23670,23680,2587
2018/01/11 18:00,23670,23700,23660,23680,1753
2018/01/11 19:00,23690,23690,23560,23570,4936
2018/01/11 20:00,23570,23620,23570,23600,2367
2018/01/11 21:00,23600,23600,23540,23550,1742
2018/01/11 22:00,23560,23630,23550,23630,1973
2018/01/11 23:00,23620,23650,23570,23570,2411
2018/01/11 00:00,23570,23640,23570,23610,2346
2018/01/11 01:00,23600,23670,23600,23650,1405
2018/01/11 02:00,23650,23670,23650,23670,525
2018/01/11 03:00,23670,23670,23620,23650,270
2018/01/11 04:00,23650,23660,23580,23580,890
2018/01/11 05:00,23580,23600,23560,23570,449
2018/01/11 08:45,23610,23650,23610,23650,1154
2018/01/11 09:00,23650,23730,23590,23690,10170
2018/01/11 10:00,23690,23730,23660,23710,6837
2018/01/11 11:00,23700,23710,23600,23610,4576
2018/01/11 12:00,23620,23690,23620,23670,5121
2018/01/11 13:00,23670,23680,23620,23630,5342
2018/01/11 14:00,23630,23680,23610,23680,7089
2018/01/11 15:00,23690,23690,23630,23650,6553
2018/01/12 16:30,23670,23670,23660,23660,667
2018/01/12 17:00,23660,23660,23630,23660,1498
2018/01/12 18:00,23660,23660,23620,23640,931
2018/01/12 19:00,23640,23650,23610,23650,1477
2018/01/12 20:00,23650,23680,23650,23660,1142
2018/01/12 21:00,23670,23700,23670,23680,1330
2018/01/12 22:00,23680,23680,23630,23640,1511
2018/01/12 23:00,23630,23660,23620,23660,1432
2018/01/12 00:00,23660,23670,23630,23670,1744
2018/01/12 01:00,23680,23680,23650,23670,1240
2018/01/12 02:00,23670,23710,23670,23710,941
2018/01/12 03:00,23710,23710,23680,23690,705
2018/01/12 04:00,23690,23720,23680,23720,560
2018/01/12 05:00,23710,23730,23710,23730,402
2018/01/12 08:45,23750,23760,23730,23730,2259
2018/01/12 09:00,23720,23740,23650,23680,11907
2018/01/12 10:00,23690,23690,23630,23670,6652
2018/01/12 11:00,23670,23690,23660,23670,2684
2018/01/12 12:00,23670,23720,23660,23680,3373
2018/01/12 13:00,23680,23700,23640,23640,3842
2018/01/12 14:00,23640,23650,23570,23640,9520
2018/01/12 15:00,23630,23660,23630,23640,5276
2018/01/15 16:30,23660,23680,23660,23660,1135
2018/01/15 17:00,23660,23670,23630,23650,1716
