jst,open,high,low,close,volume
2015/01/05 16:30,17360,17360,17200,17240,5021
2015/01/05 17:00,17240,17290,17200,17250,3904
2015/01/05 18:00,17250,17340,17240,17330,2590
2015/01/05 19:00,17330,17340,17270,17300,1643
2015/01/05 20:00,17300,17300,17270,17270,907
2015/01/05 21:00,17270,17330,17270,17310,966
2015/01/05 22:00,17310,17330,17270,17290,690
2015/01/05 23:00,17290,17290,17220,17240,2448
2015/01/05 00:00,17240,17290,17230,17290,2044
2015/01/05 01:00,17290,17300,17270,17290,1217
2015/01/05 02:00,17300,17310,17270,17310,749
2015/01/05 03:00,17320,17320,17320,17320,132
2015/01/05 09:00,17350,17390,17220,17260,19573
2015/01/05 10:00,17260,17350,17240,17350,5905
2015/01/05 11:00,17350,17360,17320,17340,3185
2015/01/05 12:00,17340,17550,17340,17520,14314
2015/01/05 13:00,17530,17530,17440,17490,6322
2015/01/05 14:00,17500,17520,17390,17420,10952
2015/01/05 15:00,17410,17420,17350,17380,5616
2015/01/06 16:30,17340,17340,17260,17310,2473
2015/01/06 17:00,17320,17350,17290,17330,3642
2015/01/06 18:00,17340,17350,17280,17300,2001
2015/01/06 19:00,17290,17310,17270,17270,1346
2015/01/06 20:00,17270,17300,17260,17270,1037
2015/01/06 21:00,17270,17270,17240,17240,1184
2015/01/06 22:00,17240,17260,17200,17210,2340
2015/01/06 23:00,17220,17230,17120,17140,6081
2015/01/06 00:00,17130,17160,17080,17120,5250
2015/01/06 01:00,17120,17130,17060,17090,6071
2015/01/06 02:00,17090,17100,17040,17050,2160
2015/01/06 03:00,17070,17070,17070,17070,130
2015/01/06 09:00,17040,17090,16940,16950,23485
2015/01/06 10:00,16940,17040,16940,17000,10828
2015/01/06 11:00,17000,17020,16950,16990,5574
2015/01/06 12:00,16990,17010,16900,16930,9659
2015/01/06 13:00,16930,16970,16900,16950,7651
2015/01/06 14:00,16950,16970,16870,16890,13538
2015/01/06 15:00,16890,16910,16850,16900,9596
2015/01/07 16:30,16870,16980,16870,16970,1801
2015/01/07 17:00,16970,17010,16870,16910,7682
2015/01/07 18:00,16910,16930,16860,16910,4500
2015/01/07 19:00,16900,16910,16870,16900,1542
2015/01/07 20:00,16900,17000,16900,16990,2469
2015/01/07 21:00,16990,17000,16960,16970,1615
2015/01/07 22:00,16970,16980,16930,16960,2319
2015/01/07 23:00,16960,16980,16910,16920,2573
2015/01/07 00:00,16920,16980,16840,16840,7031
2015/01/07 01:00,16830,16830,16610,16610,9580
2015/01/07 02:00,16610,16660,16550,16660,6432
2015/01/07 03:00,16700,16700,16700,16700,172
2015/01/07 09:00,16750,16910,16750,16820,22594
2015/01/07 10:00,16820,16900,16810,16900,5761
2015/01/07 11:00,16910,16970,16910,16940,6945
2015/01/07 12:00,16940,16960,16900,16920,4431
2015/01/07 13:00,16930,16950,16910,16930,3928
2015/01/07 14:00,16930,16940,16850,16890,7035
2015/01/07 15:00,16880,16960,16860,16960,7189
2015/01/08 16:30,16980,17090,16980,17020,4898
2015/01/08 17:00,17020,17050,16980,17020,7736
2015/01/08 18:00,17020,17020,16920,16980,3730
2015/01/08 19:00,16980,17080,16970,17080,3783
2015/01/08 20:00,17080,17080,17050,17060,1826
2015/01/08 21:00,17060,17090,17040,17070,1823
2015/01/08 22:00,17080,17160,17070,17120,4107
2015/01/08 23:00,17120,17150,17080,17150,3521
2015/01/08 00:00,17150,17170,17050,17090,5542
2015/01/08 01:00,17090,17130,17010,17130,4550
2015/01/08 02:00,17140,17150,17110,17130,1724
2015/01/08 03:00,17140,17140,17140,17140,81
2015/01/08 09:00,17050,17100,17000,17090,14063
2015/01/08 10:00,17090,17200,17050,17190,10482
2015/01/08 11:00,17190,17190,17130,17170,3930
2015/01/08 12:00,17180,17230,17170,17190,6922
2015/01/08 13:00,17200,17250,17180,17230,5375
2015/01/08 14:00,17220,17240,17150,17170,8810
2015/01/08 15:00,17170,17250,17170,17250,7872
2015/01/09 16:30,17290,17290,17250,17280,2197
2015/01/09 17:00,17270,17270,17220,17250,3196
2015/01/09 18:00,17250,17280,17240,17240,1883
2015/01/09 19:00,17250,17260,17230,17250,744
2015/01/09 20:00,17250,17290,17240,17270,1347
2015/01/09 21:00,17280,17290,17270,17270,1326
2015/01/09 22:00,17270,17280,17220,17220,2110
2015/01/09 23:00,17230,17300,17220,17280,2885
2015/01/09 00:00,17290,17370,17280,17370,3566
2015/01/09 01:00,17370,17390,17360,17360,2310
2015/01/09 02:00,17360,17370,17320,17360,1172
2015/01/09 03:00,17350,17350,17350,17350,133
2015/01/09 09:00,17350,17360,17280,17310,13744
2015/01/09 10:00,17310,17310,17200,17230,10888
2015/01/09 11:00,17230,17270,17230,17250,3463
2015/01/09 12:00,17250,17290,17250,17270,2576
2015/01/09 13:00,17260,17260,17160,17200,6177
2015/01/09 14:00,17200,17200,17130,17200,9281
2015/01/09 15:00,17190,17240,17180,17210,5816
2015/01/13 16:30,17200,17200,17150,17170,1262
2015/01/13 17:00,17160,17200,17130,17200,2626
2015/01/13 18:00,17210,17220,17160,17170,2350
2015/01/13 19:00,17170,17180,17140,17150,1139
2015/01/13 20:00,17150,17170,17150,17150,925
2015/01/13 21:00,17150,17170,17150,17150,973
2015/01/13 22:00,17150,17280,17130,17250,7260
2015/01/13 23:00,17250,17280,17130,17150,7509
2015/01/13 00:00,17140,17180,17040,17080,9078
2015/01/13 01:00,17070,17070,16920,16990,9406
2015/01/13 02:00,16980,17010,16950,16950,2235
2015/01/13 03:00,16940,16940,16940,16940,158
2015/01/13 09:00,16960,16970,16820,16840,21569
2015/01/13 10:00,16830,16880,16820,16850,7066
2015/01/13 11:00,16850,16910,16850,16910,5442
2015/01/13 12:00,16900,16910,16840,16880,3364
2015/01/13 13:00,16880,16960,16870,16940,6906
